IP Address,Port,Country,Anonymity,Speed
124.41.240.140,59964,NP,Elite (HIA),2ms
43.134.20.174,15673,SG,Elite (HIA),3ms
64.124.145.1,1080,US,Elite (HIA),3ms
104.16.230.163,80,CA,Elite (HIA),1ms
177.184.67.77,4145,BR,Elite (HIA),1ms
8.142.3.145,3306,CN,Elite (HIA),2ms
104.19.124.112,80,CA,Elite (HIA),5ms
131.0.143.1,4145,BR,Elite (HIA),35.4s
67.43.228.253,2309,CA,Elite (HIA),1ms
109.236.47.242,4145,AL,Elite (HIA),2ms
197.234.13.4,4145,SC,Elite (HIA),2ms
202.40.186.157,4145,BD,Elite (HIA),1ms
107.181.161.133,11987,US,Elite (HIA),1ms
203.143.38.249,8080,LK,Elite (HIA),1ms
109.125.128.71,5678,IR,Elite (HIA),2ms
143.202.226.31,4145,BR,Elite (HIA),1ms
104.18.220.95,80,CA,Elite (HIA),1ms
116.58.232.105,4145,TH,Elite (HIA),2ms
221.167.75.138,5156,KR,Elite (HIA),85ms
2.56.179.46,7497,US,Elite (HIA),1ms
51.210.182.12,47514,FR,Elite (HIA),2ms
82.196.25.134,7497,FR,Elite (HIA),1ms
47.52.240.190,808,HK,Elite (HIA),1ms
192.241.205.63,60092,US,Elite (HIA),1ms
103.212.93.193,45639,IN,Elite (HIA),21.9s
85.117.60.131,8080,GE,Transparent (NOA),2ms
110.78.141.219,4145,TH,Elite (HIA),2ms
190.211.161.210,32410,CL,Elite (HIA),2ms
116.58.254.201,8080,TH,Elite (HIA),2ms
50.251.146.121,5678,US,Elite (HIA),6ms
94.228.35.219,80,GB,Elite (HIA),2ms
106.52.65.104,1080,CN,Elite (HIA),2ms
36.90.167.71,5678,ID,Elite (HIA),2ms
167.99.182.227,39031,CA,Elite (HIA),1ms
168.205.217.140,4145,BR,Elite (HIA),1ms
91.203.25.28,4153,UA,Elite (HIA),2ms
185.126.40.232,4153,IR,Elite (HIA),82ms
104.19.217.219,80,CA,Elite (HIA),2ms
160.16.233.90,3128,JP,Elite (HIA),2ms
172.67.187.242,80,CA,Elite (HIA),2ms
162.144.36.208,38242,US,Elite (HIA),5ms
45.115.115.146,31141,BD,Elite (HIA),2ms
27.184.145.168,21212,CN,Elite (HIA),2ms
199.58.184.97,4145,US,Elite (HIA),
,,,,
,,,,82ms
,80,CA,Elite (HIA),2ms
104.19.217.219,3128,US,Elite (HIA),2ms
129.21.30.116,5678,BR,Elite (HIA),3ms
187.85.157.30,5678,UA,Elite (HIA),2ms
193.107.169.222,4153,BI,Elite (HIA),10ms
196.2.13.12,1080,CN,Elite (HIA),2ms
140.250.144.18,56108,SG,Elite (HIA),2ms
178.128.21.246,4153,ID,Elite (HIA),1ms
103.94.133.91,10487,DE,Elite (HIA),3ms
136.244.89.35,58350,RU,Elite (HIA),2ms
195.210.172.43,46919,NL,Elite (HIA),2ms
51.15.16.96,4145,TH,Elite (HIA),2ms
101.108.12.69,5678,ID,Elite (HIA),2ms
183.81.156.225,4145,TH,Elite (HIA),2ms
110.78.155.44,5678,IN,Elite (HIA),2ms
203.115.106.174,5678,PH,Elite (HIA),2ms
124.106.234.215,4145,ID,Elite (HIA),2ms
36.90.61.224,4145,ID,Elite (HIA),1ms
36.65.74.23,38817,CZ,Elite (HIA),1ms
77.48.23.181,16276,GB,Elite (HIA),2ms
51.89.116.108,2080,CN,Elite (HIA),1ms
27.151.29.27,4145,BR,Elite (HIA),8ms
168.227.158.49,4145,BR,Elite (HIA),2ms
177.125.166.218,5678,BD,Elite (HIA),2ms
103.120.146.32,5678,AR,Elite (HIA),2ms
190.182.229.11,4145,ID,Elite (HIA),2ms
210.57.216.110,9050,RU,Elite (HIA),2ms
85.143.213.2,1080,RS,Elite (HIA),2ms
188.255.244.137,8080,TH,Elite (HIA),2ms
124.121.95.244,45639,IN,Elite (HIA),2ms
103.212.93.209,4153,PE,Elite (HIA),2ms
181.66.37.78,34432,BD,Elite (HIA),1ms
43.250.81.155,5678,TH,Elite (HIA),3ms
171.100.22.133,4153,IR,Elite (HIA),1ms
185.171.54.34,8080,TH,Elite (HIA),2ms
116.58.224.33,1080,TW,Elite (HIA),2ms
220.130.230.244,41238,ID,Elite (HIA),82ms
103.207.98.82,1080,CN,Elite (HIA),1ms
114.254.92.176,443,ID,Elite (HIA),2ms
202.159.121.209,4153,BR,Elite (HIA),2ms
187.94.105.30,443,HK,Elite (HIA),2ms
47.242.34.83,4153,TH,Elite (HIA),82ms
1.179.194.137,5678,BG,Elite (HIA),2ms
212.50.78.202,4145,CN,Elite (HIA),3ms
113.74.26.114,1080,IT,Elite (HIA),3ms
79.9.90.134,6789,CO,Elite (HIA),2ms
186.115.218.174,4153,ID,Elite (HIA),2ms
103.94.133.93,10041,US,Elite (HIA),2ms
149.28.44.246,32524,US,Elite (HIA),82ms
75.119.203.210,4145,ID,Elite (HIA),2ms
103.51.44.221,52017,BR,Elite (HIA),2ms
186.219.96.193,5678,BD,Elite (HIA),2ms
122.152.55.141,4145,IN,Elite (HIA),83ms
45.126.169.185,55904,FR,Elite (HIA),2ms
149.202.76.10,4153,RU,Elite (HIA),2ms
178.252.197.64,2105,CA,Elite (HIA),2ms
104.18.65.115,21127,US,Elite (HIA),8ms
43.135.154.94,4153,CZ,Elite (HIA),6ms
80.82.147.5,4153,RU,Elite (HIA),2ms
188.43.20.173,12551,US,Elite (HIA),1ms
149.20.253.47,5678,AR,Elite (HIA),82ms
181.170.240.139,63246,BG,Elite (HIA),2ms
78.90.19.79,4145,BR,Elite (HIA),3ms
168.227.158.73,1080,RS,Elite (HIA),3ms
95.140.112.33,25165,FR,Elite (HIA),3ms
135.125.56.179,58351,US,Elite (HIA),8ms
45.76.63.76,1081,ID,Elite (HIA),1ms
114.5.196.209,4153,IR,Elite (HIA),1ms
185.171.55.218,443,SG,Elite (HIA),87ms
43.134.169.115,4153,ID,Elite (HIA),1ms
112.109.20.198,57114,CN,Elite (HIA),2ms
218.1.200.113,80,IR,Elite (HIA),2ms
84.241.25.151,443,ID,Elite (HIA),78ms
202.159.30.1,5031,SG,Elite (HIA),1ms
148.66.130.53,43573,BR,Elite (HIA),1ms
177.87.230.31,5678,BR,Elite (HIA),1ms
177.200.82.190,8080,TH,Elite (HIA),2ms
1.10.183.22,4145,BR,Elite (HIA),1ms
177.125.206.169,1080,TR,Elite (HIA),1ms
88.255.217.12,5678,IQ,Elite (HIA),3ms
109.224.55.18,5678,BR,Elite (HIA),2ms
179.96.142.75,8118,CN,Elite (HIA),1ms
123.114.207.105,80,RU,Elite (HIA),2ms
89.249.253.10,24650,US,Elite (HIA),2ms
64.90.48.27,1080,IT,Elite (HIA),1ms
195.231.72.187,808,TR,Elite (HIA),2ms
185.220.226.235,4153,MN,Elite (HIA),1ms
203.98.76.139,4145,ID,Elite (HIA),83ms
45.112.125.59,4145,TH,Elite (HIA),87ms
110.77.197.86,5678,VN,Elite (HIA),3ms
171.244.68.28,4145,TH,Elite (HIA),2ms
171.97.107.99,4153,ID,Elite (HIA),2ms
27.123.1.37,31337,BR,Elite (HIA),2ms
186.251.255.45,443,ID,Elite (HIA),84ms
202.159.35.73,4153,BD,Elite (HIA),2ms
103.117.109.9,666,BR,Elite (HIA),2ms
201.20.80.113,1080,US,Elite (HIA),1ms
23.94.73.246,4145,IQ,Elite (HIA),2ms
46.161.196.174,4153,BR,Elite (HIA),2ms
177.38.5.45,8088,NL,Elite (HIA),
185.233.202.110,,,,
,,,,1ms
,4145,TH,Elite (HIA),2ms
1.10.133.134,443,ID,Elite (HIA),2ms
202.159.35.73,8118,GB,Elite (HIA),2ms
138.68.132.158,1080,DE,Elite (HIA),86ms
195.201.147.185,4145,RU,Elite (HIA),2ms
85.237.51.73,4153,ID,Elite (HIA),2ms
103.79.96.165,80,NL,Elite (HIA),8ms
194.87.58.16,80,CA,Elite (HIA),2ms
104.16.108.149,4603,CN,Elite (HIA),2ms
112.54.33.47,14200,US,Elite (HIA),2ms
165.154.235.178,1080,TH,Elite (HIA),2ms
183.89.40.190,80,CA,Elite (HIA),3ms
104.16.104.12,5678,BR,Elite (HIA),2ms
189.125.22.10,4153,BG,Elite (HIA),2ms
217.145.94.196,80,KH,Elite (HIA),2ms
202.150.1.87,5156,KR,Elite (HIA),2ms
121.132.108.65,48684,DE,Elite (HIA),2ms
46.101.210.101,4145,RO,Elite (HIA),6ms
188.26.5.254,53523,EC,Elite (HIA),83ms
186.47.82.62,4145,BR,Elite (HIA),2ms
201.148.125.203,1080,CN,Elite (HIA),2ms
101.71.154.251,12345,US,Elite (HIA),3ms
143.198.69.18,60899,US,Elite (HIA),3ms
104.255.170.63,5555,RU,Elite (HIA),83ms
151.248.117.232,41458,IN,Elite (HIA),93ms
139.59.66.145,6588,BR,Elite (HIA),1ms
200.140.83.108,80,IR,Elite (HIA),2ms
128.65.176.170,5678,ID,Elite (HIA),2ms
36.95.35.49,4153,LV,Elite (HIA),2ms
31.170.17.141,1080,CN,Elite (HIA),87ms
140.250.92.253,4145,TH,Elite (HIA),2ms
110.78.149.34,45326,BD,Elite (HIA),6ms
119.18.145.147,48617,ID,Elite (HIA),1ms
202.50.203.92,443,SG,Elite (HIA),3ms
43.134.168.21,4191,CZ,Elite (HIA),2ms
185.243.126.53,1080,BD,Elite (HIA),2ms
103.109.56.97,443,ID,Elite (HIA),2ms
202.159.107.1,4153,BR,Elite (HIA),2ms
170.81.108.47,1080,VN,Elite (HIA),82ms
116.105.165.83,8080,SG,Elite (HIA),2ms
139.162.46.64,44844,CN,Elite (HIA),2ms
125.46.179.58,80,CA,Elite (HIA),2ms
104.24.15.158,4145,KH,Elite (HIA),2ms
202.124.46.65,1080,IN,Elite (HIA),2ms
103.47.93.201,443,JP,Elite (HIA),7ms
43.153.172.76,4145,TH,Elite (HIA),2ms
110.78.146.11,4145,BD,Elite (HIA),2ms
103.35.111.101,12551,US,Elite (HIA),3ms
149.20.253.241,4153,BD,Elite (HIA),20.1s
103.82.11.237,4444,RU,Elite (HIA),4ms
45.95.203.85,80,CA,Elite (HIA),1ms
172.67.3.108,80,US,Elite (HIA),1ms
104.248.223.25,4145,US,Elite (HIA),2ms
174.75.211.221,443,US,Elite (HIA),2ms
43.153.16.230,54389,RU,Elite (HIA),3ms
45.11.6.117,44844,CN,Elite (HIA),2ms
123.235.134.21,42578,US,Elite (HIA),2ms
207.244.255.174,80,CA,Elite (HIA),1ms
104.16.105.207,3128,CA,Elite (HIA),1ms
167.114.195.82,56792,IE,Elite (HIA),1ms
217.115.115.247,15108,BD,Elite (HIA),2ms
103.109.59.77,4153,ID,Elite (HIA),2ms
103.79.96.166,42863,US,Elite (HIA),62ms
75.119.204.158,5678,PL,Elite (HIA),1ms
178.212.51.79,1080,UA,Elite (HIA),2ms
31.128.248.1,44581,IN,Elite (HIA),2ms
103.211.8.189,26589,CN,Elite (HIA),2ms
58.220.69.212,4145,EC,Elite (HIA),5ms
45.70.237.134,5678,AL,Elite (HIA),2ms
185.89.156.130,4153,KR,Elite (HIA),3ms
211.174.110.215,5678,TR,Elite (HIA),3ms
88.248.2.160,4145,BR,Elite (HIA),1ms
45.65.229.19,80,BF,Elite (HIA),2ms
41.223.234.2,60490,SG,Elite (HIA),2ms
157.245.157.72,9090,CA,Elite (HIA),6ms
24.78.155.155,57752,US,Elite (HIA),2ms
147.135.36.162,5678,IN,Elite (HIA),3ms
103.76.210.85,5678,BO,Elite (HIA),2ms
181.188.187.139,4145,AU,Elite (HIA),33.6s
202.191.15.253,32561,CA,Elite (HIA),2ms
67.43.227.227,4153,IR,Elite (HIA),5ms
88.135.40.26,9000,US,Elite (HIA),2ms
192.154.246.96,32524,US,Elite (HIA),3ms
75.119.202.104,80,KZ,Elite (HIA),3ms
31.43.179.214,4145,GE,Elite (HIA),2ms
85.117.63.200,4145,SC,Elite (HIA),2ms
197.234.13.6,4145,PL,Elite (HIA),2ms
91.226.51.200,5678,MN,Elite (HIA),1ms
103.80.210.174,80,CA,Elite (HIA),2ms
104.18.103.125,4145,TH,Elite (HIA),82ms
134.236.19.94,5678,HN,Elite (HIA),2ms
181.115.36.148,11139,DE,Elite (HIA),32.1s
51.75.71.110,443,US,Elite (HIA),1ms
20.204.122.49,80,GB,Elite (HIA),83ms
45.12.30.231,4153,ID,Elite (HIA),4ms
27.123.1.35,4145,SC,Elite (HIA),7ms
197.234.13.91,34103,NL,Elite (HIA),1ms
178.62.223.189,5678,NP,Elite (HIA),2ms
110.44.113.162,38910,GQ,Elite (HIA),2ms
102.164.252.24,4145,TR,Elite (HIA),
185.169.181.20,,,,2ms
,,,Elite (HIA),2ms
,4153,PL,Elite (HIA),1ms
83.168.84.82,12551,US,Elite (HIA),1ms
149.20.253.100,45916,IN,Elite (HIA),2ms
103.38.205.3,5678,NP,Elite (HIA),78ms
110.44.113.162,4145,TR,Elite (HIA),3ms
185.169.181.20,4145,TH,Elite (HIA),1ms
110.78.182.221,8080,MY,Elite (HIA),2ms
175.139.208.117,19639,FR,Elite (HIA),2ms
37.187.140.148,80,RU,Elite (HIA),1ms
62.141.70.118,4153,RU,Elite (HIA),2ms
78.37.40.1,1080,RU,Elite (HIA),1ms
95.78.119.94,8080,UA,Elite (HIA),1ms
91.241.130.127,4145,KH,Elite (HIA),2ms
202.124.46.97,10037,FI,Elite (HIA),2ms
95.217.201.196,7497,GB,Elite (HIA),2ms
139.59.186.196,5678,KH,Elite (HIA),3ms
49.156.1.173,4153,BR,Elite (HIA),2ms
45.226.48.6,31041,MD,Elite (HIA),2ms
89.39.100.173,4153,BR,Elite (HIA),2ms
187.19.127.253,80,CA,Elite (HIA),2ms
104.16.213.202,5678,MT,Elite (HIA),86ms
80.85.98.110,13135,US,Elite (HIA),1ms
108.175.23.49,5678,VN,Elite (HIA),1ms
115.73.220.114,43879,US,Elite (HIA),1ms
50.62.57.97,5678,PL,Elite (HIA),2ms
89.161.90.225,8080,MX,Elite (HIA),81ms
201.121.249.246,80,BZ,Elite (HIA),2ms
203.23.103.19,60616,IN,Elite (HIA),2ms
114.69.244.66,88,FR,Elite (HIA),2ms
51.159.163.198,58351,DE,Elite (HIA),2ms
155.133.83.169,1080,AR,Elite (HIA),2ms
138.36.150.28,1080,AR,Elite (HIA),2ms
181.5.222.113,18940,DE,Elite (HIA),2ms
144.91.107.252,9050,CH,Elite (HIA),2ms
46.19.141.98,39593,US,Elite (HIA),2ms
204.10.182.34,12020,US,Elite (HIA),2ms
5.252.177.254,4145,BR,Elite (HIA),2ms
177.125.206.157,4145,CN,Elite (HIA),2ms
218.106.166.114,4153,BD,Elite (HIA),2ms
103.117.109.5,80,CA,Elite (HIA),82ms
104.17.62.87,4153,ID,Elite (HIA),3ms
103.79.96.169,4145,IR,Elite (HIA),1ms
80.191.169.76,4145,SC,Elite (HIA),2ms
197.234.13.11,3389,TR,Elite (HIA),2ms
195.87.217.75,4145,RU,Elite (HIA),2ms
91.185.236.24,4153,MX,Elite (HIA),2ms
187.210.136.88,4145,US,Elite (HIA),2ms
72.206.181.123,80,US,Elite (HIA),2ms
172.67.209.12,5678,MY,Elite (HIA),3ms
1.32.57.85,443,US,Elite (HIA),2ms
43.153.36.48,4153,ID,Elite (HIA),2ms
27.123.1.33,55405,DE,Elite (HIA),2ms
173.212.206.86,8016,US,Elite (HIA),2ms
68.183.17.152,5678,IN,Elite (HIA),2ms
117.241.132.95,1080,PL,Elite (HIA),3ms
194.31.33.50,46656,US,Elite (HIA),1ms
38.127.179.125,5678,ID,Elite (HIA),78ms
182.253.154.184,5678,IT,Elite (HIA),2ms
5.83.124.44,1080,ID,Elite (HIA),1ms
103.40.122.194,5678,BG,Elite (HIA),3ms
80.80.152.123,38801,CN,Elite (HIA),2ms
112.87.5.245,5678,US,Elite (HIA),2ms
69.27.150.166,5678,AR,Elite (HIA),3ms
201.159.15.145,5678,CM,Elite (HIA),7ms
154.72.183.230,4145,TH,Elite (HIA),3ms
110.78.149.186,24115,SG,Elite (HIA),2ms
128.199.93.105,5678,BO,Elite (HIA),1ms
181.188.188.131,2093,US,Elite (HIA),82ms
38.127.179.236,3629,UA,Elite (HIA),2ms
194.6.233.122,57261,SG,Elite (HIA),3ms
178.128.113.181,80,CA,Elite (HIA),2ms
104.21.80.83,9000,US,Elite (HIA),2ms
199.188.93.163,15976,DE,Elite (HIA),2ms
138.201.140.125,44578,IN,Elite (HIA),2ms
103.107.94.2,59623,BG,Elite (HIA),2ms
62.182.114.164,4145,ID,Elite (HIA),1ms
182.253.159.19,21127,US,Elite (HIA),2ms
49.51.189.171,1080,BG,Elite (HIA),2ms
77.85.104.54,80,CN,Elite (HIA),2ms
47.105.126.142,1111,CN,Elite (HIA),3ms
221.211.62.4,4153,BD,Elite (HIA),26.0s
103.82.8.237,4145,TH,Elite (HIA),2ms
110.78.146.228,3128,HK,Elite (HIA),2ms
47.243.92.199,1080,RU,Elite (HIA),2ms
194.61.24.198,4153,BR,Elite (HIA),2ms
187.37.121.236,10801,BD,Elite (HIA),2ms
49.0.32.154,80,US,Elite (HIA),2ms
192.210.148.89,443,US,Elite (HIA),1ms
43.153.64.66,62963,SG,Elite (HIA),2ms
149.28.155.28,3128,JP,Elite (HIA),2ms
153.127.42.160,1080,IN,Elite (HIA),2ms
103.47.92.33,8080,TH,Elite (HIA),1ms
101.108.123.174,1080,GB,Elite (HIA),1ms
180.210.222.153,8080,ZA,Elite (HIA),1ms
197.245.155.96,5678,US,Elite (HIA),2ms
72.194.234.87,57114,CN,Elite (HIA),1ms
218.1.142.243,39877,US,Elite (HIA),1ms
23.225.129.130,5678,IN,Elite (HIA),1ms
103.70.159.130,4145,TH,Elite (HIA),
61.7.138.214,5678,NG,,
41.76.86.202,,,,1ms
,,,Elite (HIA),2ms
,24067,HK,Elite (HIA),2ms
43.132.128.186,6969,FI,Elite (HIA),89ms
95.217.222.213,8080,BR,Elite (HIA),5ms
170.81.37.54,8080,GB,Elite (HIA),1ms
51.89.228.17,1080,GB,Elite (HIA),2ms
80.235.239.130,4145,IR,Elite (HIA),2ms
88.135.41.109,4145,IN,Elite (HIA),3ms
103.86.1.255,48256,UA,Elite (HIA),3ms
94.45.152.86,4145,RU,Elite (HIA),2ms
109.94.182.128,4145,TH,Elite (HIA),2ms
116.58.232.91,39877,US,Elite (HIA),82ms
23.225.129.132,3128,IN,Elite (HIA),1ms
103.78.201.242,57123,FR,Elite (HIA),2ms
178.32.116.232,5678,NG,Elite (HIA),3ms
41.76.86.202,4153,PL,Elite (HIA),2ms
83.168.84.130,5678,CL,Elite (HIA),2ms
200.2.196.42,5678,KE,Elite (HIA),2ms
41.60.235.118,37630,TR,Elite (HIA),1ms
31.206.38.50,5678,PL,Elite (HIA),5ms
176.97.80.48,4145,RU,Elite (HIA),3ms
91.230.138.11,4145,SC,Elite (HIA),4ms
197.234.13.25,4153,BR,Elite (HIA),2ms
177.131.29.208,16137,US,Elite (HIA),2ms
192.252.215.5,48678,US,Elite (HIA),2ms
192.119.203.124,80,CA,Elite (HIA),4ms
104.18.161.122,9050,DE,Elite (HIA),1ms
139.162.151.176,80,CA,Elite (HIA),2ms
104.19.79.238,4145,SC,Elite (HIA),2ms
197.234.13.67,4153,PL,Elite (HIA),85ms
185.32.4.98,1081,CN,Elite (HIA),2ms
123.181.151.91,4145,ID,Elite (HIA),2ms
119.82.242.58,4153,CN,Elite (HIA),2ms
106.3.142.85,49528,GB,Elite (HIA),2ms
51.89.16.111,4145,ID,Elite (HIA),2ms
103.113.3.238,4153,BR,Elite (HIA),2ms
187.19.127.238,5678,IR,Elite (HIA),2ms
93.115.148.208,1080,IN,Elite (HIA),2ms
103.47.93.228,5678,VN,Elite (HIA),2ms
